,comment
7929,"Нас никто даже желания спрашивать не будет
"
2073,"Даёт в жёппу хачам и прочим ниграм
"
976,"Гавно разное поддерживал, туда и дорога. И Собчак туда же, чтоб здесь чище было. Земля стекловатой вместе с борькой - алкашом.
"
9021,"что бы принести прогресс, иногда надо сперва разрушить Ампутация это часть работы врача
"
13326,"Люди путешествующие и или пожившие еще где то, имеют, как известно, более широкий кругозор. Людям запертым внутри одной страны как правило и так нормально только потому что они не видели альтернативы. Я считаю, что наоборот, такие люди и должны о чем то рассуждать, такие люди и должны чем то управлять и тд.
"
5526,"Какие группы продвигают панк идею у нас в 80-х годах ?Сектор воровал музыку, но хоть тексты были свои. Которые описывали то что происходит с нами или вокруг нас. А сейчас не стесняясь тырят и то и то. Начиная от попсы, заканчивая репом и прочими.
"
11302,"Только хвост шелушится
"
8236,"Зато есть айфон и кредит на него
"
83,"Мне Вас очень жаль, если для Вас оскорбления - норма.
"
1917,"Моча в анимаче решила окончательно убить реакшен. Тут и раньше были жалобы, на постоянные баны, удаление релейтеда, но то что происходит сейчас не идёт ни в какое сравнение. Тред сделали бесконечным, по сути - убили. Теперь это не более чем чатик, где что либо реактить не имеет ровно никакого смысла. Зачем, если пройдёт час-полтора и твой реакт на тысячу слов будет удалён вместе со всеми ответами? Да и те кто зайдёт в тред только вечером реакта не увидят да, некоторые пролистывают тред в поисках реактов . Если моче так лень тереть пидрюху, слабоумных сиськодаунов, и прочих вниманиеблядей - пусть ставят другого, а не избавляются от треда."
8451,"В частном секторе до сих пор так часто бывает, но зависит от угля)
"
12733,"Вот только китайцы у себя все строят и улучшают. А в России в половине городов транспорт прошлого века ездит. Хорошо смеется тот, кто смеется последним.
"
4984,"Девушка расстроилась, что никто ее пивом не угощает. Перевелись нынче джентльмены в поездах.
"
3442,"Подходит так как я сама такая же. Была бы я вся такая активная счастливая, тогда конечно бы не подходил. Было бы не справедливо и неудобно, если бы парень был нормальный , работал, имел кучу друзей и активную жизнь. Я была бы тогда на его фоне унылым говном без интересов, мотивации и неработающая не домохазяйка, залипающая у компа. А другой я не могу быть, такой характер ну или что-то пошло не так в воспитании родителями. Да и что было бы общего? Ему бы приходилось меня постоянно пинать и заставлять.
"
7387,"Видимо, не умею( Вот надеюсь, что на работу устроюсь сейчас всё-таки и это отвлечёт. Хотя и стрессу нового тоже добавит наверно. Ещё тренировки в зале хочу возобновить, может бассейн.. Вот уже на всё готова на самом деле, лишь бы избавиться от этого.
"
6579,"Вот не 50гб, если равномерно тратить то 10гб, а так рекорд удалось 30гб потратить
"
9039,"Тс, развейте мне миф насчет статики и заземления. Правда ли если выскочить из вертолета при посадке не дождавшись контакта с грунтом шасси можно стать полупроводником нехилого разряда?
"
2562,"Почему этот пидор не хочет играть Муцураева?
"
3224,"Если у всех 49,5, то где чехлы на их орудия?? Под кассой обычно лежат, на них еще эмблемы магазина часто нанесены
"
1412,Каких-каких изуверских практик? Там ежа надо жрать пока его любишь?
8259,"Только основание ступени реализовано иначе..
"
7770,"Геолог Георгий герой гей оргий
"
8903,"потому что по сути вода дистиллированная получается. а она наоборот из организма вымывает все, а не насыщает
"
13409,"понял, что обосрался по всем пунктам и теперь пытаешься извернуться, авотхуй! ТЫ не уступил, значит ТЫ виноват. Он ехал по обочине, он нарушил, он заплатил штраф, а ты создал аварию. ты виноват.
"
3251,"Ну эти работодатель платит. Если завтра их внезапно отменят то он вам ниига не прибавит зарплату на эти 35 , ибо это его деньги.
"
3787,"Блин, доколе, опять тарелка не такая как в рецепте.
"
10298,"Перемычка тоже огород. Да ещё и вентиль выключается не будет.
"
7209,"Гарри Топор рекомендует:
"
4084,"Первый акт, в котором государство выступит действительным представителем всего общества, обращение средств производства в общественную собственность, будет его последним самостоятельным действием в качестве государства. Вмешательство государственной власти в общественные отношения станет мало-по-малу излишним и прекратится само собою. На место управления лицами становится управление вещами и руководство производственными процессами. Государство не отменяется , оно отмирает. Фридих Энгельс
"
11524,"Скорее не потому что время замедлится, а потому что нужно приложить очень много энергии чтобы погасить вращение. На сближение с Солнцем например нужно потратить намного больше энергии чем на полет к краю Солнечной системы. От НАСА даже картинка есть с сравнением.
"
8057,"Лично я придерживаюсь мнения, что это красивый элемент декора, никаких отсылок к магическим свойствам не делаю. Но это совершенно не отменяет того, что некоторые люди верят в свойства ловца снов и он работает - согласно древнеиндейским обычаям этот амулет защищает сны спящего от кошмаров, пропуская лишь добрые и хорошие сновидения. Как-то так вкратце.
"
6381,"Негры убивают друг-друга ЭТИ ЛЮДИ - НЕ ЛЮДИ БЕЛЫЙ УБИВАЕТ МИГРАНТОВ В ПУНКТЕ ВЕРБОВКИ ТЕРРОРИСТОВ ВЕСЬ МИР СКОРБИТ, ЖЕНЩИНЫ НАДЕВАЮТ ХИДЖАБ, МУЖЧИНЫ ОТДАЮТ СВОИХ САМОК НЕСЧАСТНЫМ МУСЛИМАМ
"
10276,"В приказе работник должен расписаться. Копию обязаны дать, и заверить по просьбе работника. Если не дали в приказе расписаться - работать дальше, т.к. нет документального подтверждения увольнения.
"
8199,"Бабы-детоубийцы на женской зоне это, как педофилы-насильники на мужской. Не жильцы короче... Так, что не важно 20 лет или 20 минут - исход один. В данном случае главное, чтобы этот исход был помучительней, да пострашнее, чтобы суку и на том свете выворачивало через манду наизнанку!
"
5692,"долг за обучение в сшашке? Приближается примерно по размеру к госдолгу СШП.
"
9435,"Я год только помогаю животным. И я не приют. Никого в клетке не держу, только на карантине Пока за прошлый год около 15 пристроила. Люди адекватные попадались. И понимают, что ждёт в городе животных. Мне везло, я за все время отказала только двум людям. Почти всех по первому звонку пристраивала. Одной девушке из-за самовыгула отказала, она мне тоже говорит, что у нее кошка гуляла на улице и все хорошо было. А когда я спросила , что стала с той кошкой, так ее на улице отравили оказывается. Я полгода назад помогала спасть кота , его собаки погрызли. У кота был вспорот живот, он уползал от людей , ему было больно. Еле из под машины достали. Умер по дороге в клинику, уже агония была. Смерть его была мучительная. Рядом на том месте ,где забрали этого кота , лежал труп другого загрызанного кота. Как раз девушки , что кинула клич о помощи. Он у них самовыгульный был. Если они нового кота заведут, то на самовыгул не будут пускать. Если человек мне объяснит, что да его самовыгульного кота не собьёт машина и он не будет спинальником( а спинальников котов усыпляют , людям пофиг , что их вина и они не хотят заботиться о них, хотя эти кошки при хорошем уходе счастливо живут) , не сгрызет собака и не отравят, то я отдам. Если это частная территория с высоким забором, то да пусть сколько хотят самовыгуливают) А в деревнях может с этим обстоятельства получше обстоят. И животным безопаснее , я не разбираюсь. Наверное, там и сама бы выпускала, если знала, что безопасно)
"
9051,"З рабочих по 8 часов, если только так. 300 8 3
"
12516,"это непередаваемые запах пластика Денди приставки, картридж с 1001 игрой, по факту там они повторялись,
"
14083,"Данные из тупого идиота и руССкого фашиста Мендел еева: русских в 1950 году должно быть 350 миллионов. Гитлер убил 22 миллиона и убивал только с 1941 года. Где остальные?
"
2692,"русня не умеет в готовку ... ведь поджарить хохла может только хохол
"
8127,"А где номер сервисной поддержки?
"
966,"А ты потрогай её снаружи
"
11014,"Переход через дорогу разрешён в случае отсутствия пешеходного перехода( отсутствие в зоне видимости)
"
13459,"интересно, как будут развиваться события ждём сводок )
"
1172,не бойся так точно останешься в живых
10473,"у меня нет переходов, буквы выглядят одинаково, независимо от того, какие идут дальше. не думаю, что я одна такая. тут как будто учителя правописания из младшей школы собрались, которые никогда не видели, как у людей с возрастом почерк трансформируется
"
6289,"Блять, маргиналошизики, чего вас так тянет сюда Толик им никаких идей для движа не подкидывает, не призывает ни к чему. Остается только угорать над видосиками.
"
3714,"Чтоб мозгов набираться, раз тупит ещё...
"
11405,"Шас обосрался от смеха!
"
2750,"Кто, кроме Сакрамара помнит о свинье гнидине?
"
12594,"а меня одного бесит, что эта гифка грузилась дофига еще и с подвисаниями? Надо что-то делать с гифками на сайте, уже которая бесит, а написать лень. Но тут просто реально долго было
"
5583,"Будет что-то уровня дебатов с Вертолетом, когда Павук просто два часа читал лекцию об интерсекциональности.
"
10704,"можно попробовать, но если не будет жёстких ограничений по времени( т.к. возможность вязать есть только по выходным ( )
"
12045,"Соглашусь. Ростовская область, местный хлеб на вкус как говно - дорожает и сильно теряет в качестве (кроме частных мелких пекарен). Мука дорожает. Зерно дорожает шо пиздец. В года, когда рекорды не ставили - максимум отдавали 500р за мешок (в основном по 250-300). Сейчас же дешевле чем за 900р нигде не купить.
"
4488,"Ну мне 30... Вот поработать ночью - норм, а проторчать в клубе уже как-то не очень )
"
2105,"Ты какой-то ебанутый. Назначил автора неприятного тебе поста жидом и перенесся в свой манямирок с жидами под кроватью, Рэмбо комнатный рыночный. Узбагойся, не все думающие как ОП - жиды.
"
12735,"К сожалению мы ни в Китае, только в интернете, но из обоих стволов
"
420,"Ты ещё проо диван в фитнес-центре вспомни
"
10917,"Вот и ссылка на оригинал (но это не точно)https: yandex.ru znatoki user mosbrew-loves-you
"
11535,"У yota зона покрытия больше. Вот в моем селе теле2 не ловит, чтобы воспользоваться этой сетью надо 35 км проехать, а yota -чудесно в любой точке берет и Мегафон. Еще и yoga круто то, что все звонки внутри сети бесплатные, вне зависимости того, что я в одной точки России абонент на 800 км южнее-говорим часами -безвозмездно. Ну и вишенка, для меня, что в любой регион звоню хоть на стационарный, хоть на сотовый yota списывает только минуты. На тарифах других операторов я бы разорилась
"
12305,"Неужели мы едим оливки и холодец? Мы переступили черту. Молодости конец.
"
6739,"Друг худел со 130 до 100 вот таким же образом, быстро и без физических нагрузок, в итоге отхватил проблем со здоровьем и сейчас опять 130 весит и теперь жалеет что так делал.
"
13511,"Пидарас конченый, это где такое видано младенца избивать, в тюрьме пусть грушей будет всем ментам и зэкам!
"
8226,"Надо по цене смотреть, а на сваи не выгодны. Ломят цены. А вот лента выгодна - экскаватор дешевле всего, а на подготовку и заливку - чернорабочие 2.5 час
"
4423,"Здравствуйте, для начала небольшой экскурс в историю: Одной из категорий заповедей народу об Иерусалимском храме являлись заповеди приношения кошерных животных по случаю самого разного повода. И т.к. внезапно могло оказаться, что животное было дефектно внутри, то такое приношение приношением не считалось. Потому для приходящих из дальних земель в Иерусалим предоставлялась возможность купить нужное животное непосредственно около места приношения и это было не запрещено. Однако, спустя некоторое время, приводить перестали даже из самых ближайших земель, переводя заповедь живого приношения в фактически неживой эквивалент. И эпизод из христианского писания говорит о том, что Иисус прогнал этих продавцов тельцов и голубей, которые расположившись в стенах Храма способствовали такого рода нарушению заповеди о приношениях. Если учесть традицию преемническую у христианской церкви, а также обратить внимание, что верующие не имеют личных пастбищ коров, овец, голубятен, то их текущий плод труда не просто может быть эквивалентен деньгам, как тогда, но является именно деньгами, которые конвертируются в более приемлемый, для совершения чего-либо в храмах, вид. Думаю ваше заявление исчерпано, исследовано и его некорректность будет теперь очевидна.
"
12297,"Да, скорее всего колодка тормозная не до конца отошла. Тяги подклинило немного и вот результат. Если б букса(подшипник) была виновата, то вонища и дым были б, плюс, возможно, смазку из неё выбросило на колесо, да и температура распределилась б по-другому, ну и на крышке буксы были б признаки
"
11808,"Ждал, чтоб он его великом уебал.
"
14279,"по сведениям толика - делает это за 50 тыс. бачей в месяц (которые порох сбивает с разных коммерсов, а не сам платит)
"
6936,"Я пробовал искать по фото в гуугле. Ни одного фото не нашел. В яндексе с переменной удачей, и то кидает не на сам вк а на сайты по сбору инфы по профилям в вк. Если надо найти много людей и есть время в теории можно найти, но не через гуугл.
"
5633,"Все по Олдфишеру, лол. Наташка с хачом за кадром.
"
14091,"Шизик опять возбудился, требуется очистка.
"
10363,"А вот и Тенгри Синее небо пришёл
"
747,"Дурачек... Кот - поляк?
"
14351,"Почему модерация двач-форума позволяет такие картинки Владимира Владимировича Пыни выкладывать? Я требую удалить это изображение. Владимир Владимирович Пыня нормального роста, 170 метров живого роста.
"
1231,"очень красиво,я-бы лисичку заказал)))"
8705,"Эх .. В Питере да и в Москве таких домов снесён очень много Ну ради торговых центров, развлекательных комплексов и многоэтажек.
"
7065,"Ахах, прочитал пост и комменты, спустился вниз - реклама: банкротство от 300к рублей, перезашёл - кредит от 500к рублей. Хотя вроде и с приложения сижу...
"
7181,"В то время, а это 60-70 года это назвали Радиола. Сверху таких радиол иногда был проигрыватель пластинок. Позже вместо пластинок сверху располагался бабинный проигрыватель с возможностью записывать радиоэфир. В то время в магазине просто так не продавались аудиозаписи, а интернет и мобильную связь ещё не изобрели, поэтому основным источником музыки было радио. Кстати не в каждом доме были такие радиолы. На фото немецкая модель, я описывал советские аналоги.
"
1422,Вы крутил бы ему все ниппеля и всё.
293,"ути пути твоя подруга у тебя в штанах видит, но разве мне это тебе говорить? ты и сам это прекрасно знаешь
"
4691,"Как будто в этом что-то плохое)
"
8158,"Проблема в том, что многие камеры сидят за серым IP, поэтому используется облако от производителя чаще всего для доступа к контенту в режиме реального времени.
"
13748,"ХУЯ ВЫ ТУТ БОМБИТЕ1А НЕХУЙ БЫЛО МАЛОГО ДИВАНОНИТЬ.ЖАЛКИЕ ДУРАЧКИ.ХИККАН ВСЕ ПРАВИЛЬНО ДЕЛАЕТ, А ВЫ ЗЛИТЕСЬ ДАЛЬШЕ.
"
1388,Малышь (подвегаеться)
711,"Даже разговоры глазами и кивками бывают) - Проезжай - Не, проходи - Да мне не к спеху, курю - Давай, удачи Спасибо вам водители! А водятлам злого гайца и шипов под колеса)
"
11283,"Из практики: да, они подойду и да, они составят протокол. И проблема не в них, а в законодательных дырах.
"
9306,"Помню,где-то в конце 80-х по телеку показывали мультик,иранский вроде как. Царевна и река назывался или Семь рубиновых яблок .Достаточно длинный,час с чем-то идет и ооочень интересный.Смотрела раза три в детстве,потом его не показывали.Вот нигде его не могу найти с русской озвучкой.Очень хотелось бы посмотреть.
"
2036,"Зачем эти продажные, жирнолысые хуемрази, когда есть такая фапабельная милфочка? Будет лучший президент за всю историю.
"
10806,"А какое отопление лучше сделать в гараже 8 14 высотой 3,6.
"
7233,"Интересно, а что на французском означает глагол конвертировать ?
"
2983,"Да кремлеботов как урукхаев из грязи и говна делают.
"
11114,"Инвистиционные золотые монеты рулят
"
10024,"Не видел я конечно пакистанских поездов, но то что даже в Пакистане хорошая дорога - это проверено.
"
8879,"Скажите участковому, он её застрелит.
"
3473,"Вить, ты неумный тролль. И ниже по ветке тебе на это уже указали.
"
12403,"Нет здесь никакого развода, у нас в Казахстане в Алматы каждый месяц контролеры ходят и снимают данные приборов учета. А когда не застают владельцев квартиры дома, оставляют подобную бумажку. так что советую связаться с управляющей компанией и уточнить этот вопрос, а то действительно тариф поднимут.
"
9058,"Никак - нужен другой магнетрон. Частоте 2.45 ГГц соотв. длина волны 12 см.
"
267,"Глубоко пофигу? Тем не менее ты вывалил историю на всеобщее обозрение. Для чего? Для одобрения какой ты крутой нескандалящий? Или ищешь одобрения в убеждении что вокруг все педорасы?
"
9851,"дышать плавленной пластмассой ради это куска ископаемого сомнительное удовольствие, раньше тоже парился с эпоксидкой, но давно плюнул на это дело, купил кучу маленьких болтов, гаечек и шайбочек - болт насквозь, затем вплавляю гаечку в пластик, отмеряю, болт отрезаю. Снизу гаечка вплавляется так, что не торчит, конструкция получается очень крепкая, смысла парится с этими стойками не вижу вообще
"
6560,"Делают так, чтоб конкуренты не ставили рядом свои магазины.
"
9571,"Первое сообщение на форуме и сразу первый бан, чувствую себя плохишом)
"
6330,"кто нашёл фильмы Ебжена и их смотрит А зачем?
"
8830,"меня одного интересует, почему рядом с модемом тусуются белки? это модем бера грилса который живет с лесу?
"
3728,"все банки такие и кредитки у них, если грамотно пользоваться, только вот пока и без кредиток живется хорошо, из принципа не пользуюсь. А совет огонь!)
"
2976,"Как договорятся, светов на недавнем стриме не бесплатно 4 часа на вопросы отвечал (я думаю)
"
8984,"Насчет оперативки согласен, а вот управление можно перепилить и под сравнительно мелкие диагонали.
"
9760,"Я тоже мел ем, вкусный, как правило, круглый почему то.
"
11519,"Пост про жадность, о том, как человек оплативший не предоставил халявы человеку предвкушающему?
"
3954,"Это значит что после блокировки основного номера и активации дубликата больше с ним ничего не делали, а пользовались им в штатном режиме... как то так
"
6577,"Да просто уравнять в обязанностях религиозные организации с остальными коммерческими а как же некоммерческая деятельность?
"
138,"Другого я от тебя и не ждал, школьник максималист.
"
12632,"ну спасибо! столько раз на это (и вживую тоже) обращал внимание на это, а искать было лень...
"
2671,"Кто-же тогда спонсирует бунты в США?
"
6043,"Хохлы как всегда приезжают со своего хутора в русский город и пытаются вредить горожанам за то, что они русские, у них есть деньги и они смеются над селючей мовой? Ничего нового.
"
5126,"На самом деле даже с телефона можно вытащить нормальные кадры, если немного разобраться с настройками. Да и высокое разрешение не равно качеству. Помимо разрешения имеется композиция, цвет, текстура и т.д. Почитайте книгу Брайана Петерсона В поисках кадра. Идея, цвет и композиция в фотографии .
"
5420,"А как правильно снять матрицу ? Может есть приспасобы или метод ?
"
8104,"У меня лет 10 назад главная тема hitman 2 играла при звонке... думаю вернуть чтоли
"
4520,"Угу, а у меня 18х13.5(обхват) и при этом девственник в свои 23(
"
14203,"Нихуя разъебал либерах. Клим ссаныч, учись
"
10832,"Не сказать. Многие гражданским браком называют сожительство. Из той же серии.
"
4150,"Скорее Шлюхи есть? А если найду?
"
6764,"А что вы хотите за 415 тыс. деревянных
"
3529,"бывало и у меня - в 17м году практически каждый день наебенивался в дребадан и белку както словил, и припадками накрывало 6 раз, когда внезапно отруб, потом открываешь глаза - валяешься на полу и нихера не помнишь минут 10. в принципе я тогда и думал отпилиться именно в синем угаре - не мог себе смерть подруги простить, потом рассосалось - понял что проёбываю свои мозги и этим я ничего не сделаю, и просто взял и прекратил, отлежался, занялся работой, позволяя себе только для перезагрузки раз в неделю. потому как ударные дозы несколько дней - да, это жопа потом на бодуне - сердце так и выпрыгивает.
"
3821,"Когда бренды это одно, но когда первый раз вижу - сниму штаны и телефон, то как то стрем. Уже шлюх и то по интернету, с отзывами ищут
"
2870,"блять, вы с хохлами заебали - а сейчас ещё и всё казахское говно сюда в po притащите
"
5218,"Другими словами, прикольную или не очень модельку, которая в лучшем случае даст тебе материалов для крафта (не уникальных), в худшем просто моделька на которую можно попялиться.
"
12450,"Надеюсь что так. Но вроде бы нет оснований не верить. Почему тогда у автора начали требовать копейки. Касса перестала округлять или что? Может быть тогда ввели это округление а кассовое оборудование не было настроено. Завтра поинтересуюсь.
"
7202,"А зачем рожать (или родиться), если может вырасти долбоёб?
"
2624,"Ну есть её фото? Мне голос её всегда напоминает ту ведущую с россии1 на которую дрочат крым-политачеры.
"
2531,"ХЕЙТЕРЫ, ЧТО С ЕБАЛОМ?
"
9217,"Зачем тут эта хуета про кастрюли?
"
13786,"Венесуэльцы, мы готовимся к окончательному прекращению узурпации власти, к операции Свобода . Ждите нас в каждом штате , - сказал Гуайдо на пресс-конференции в Каракасе. Его слова в своем Twitter приводит венесуэльский журналист Габриэль Бастидас. Оппозиционер заявил, что администрации президента Венесуэлы Николаса Мадуро остались считанные дни . Гуайдо также заявил, что власти республики боятся арестовать его и поэтому нападают на его сторонников. Поскольку они власти не могут арестовать временного президента Хуана Гуайдо , они ищут его близких, угрожают им и похищают их. Николас Мадуро или не осмеливается посадить меня в тюрьму или не посылает ко мне правоохранительные органы , - сказал Гуайдо. По мнению оппозиционера, арест его секретаря Роберто Марреро является оскорблением не только Хуана Гуайдо, Национальной ассамблеи однопалатного парламента , венесуэльцев и конституции, но и всего демократического мира . Ранее Гуайдо утверждал, что Марреро и оппозиционный венесуэльский депутат Серхио Вергара были задержаны агентами Боливарианской службы разведки, а в их домах были проведены обыски. Затем Вергара сообщил, что обыски прошли, но он не был задержан. При этом Вергара также утверждал, что Марреро был задержан.
"
8411,"Для начала оштрафуют напоказ, а потом х...й забьют.
"
2941,"Пидорашки уже от Зенитов украинских отказались. Скоро и от наследия хохла Королева откажутся.
"
7232,"есть ещё вариант, половина памяти или пошла по известной дороге или кит. наебалово где в 4г прописывают 8, и система видит это значение хотя используется то что есть. Советую протестить на другой системе ваше озу
"
89,"Как-то сталкивался с ситуацией, когда новый сервак зависал на логотипе с фирмой материнки. Оказалось - проблема в том, что был подключен ламповый моник. Подключили ЖК - все отлично загрузилось! Но пока мы дошли до этого решения - успели поменять половину железа.
"
11889,"Скорее Спасибо деду за рецепт баварского
"
11763,"А у меня такого нет 0 о , япросто рублей 20-30 даю лишних наличкой.
"
14171,"Блять хватит уже это говно бампать, меня тошнит от этого ебальника мерзкого
"
11909,"Вроде же к 14ф обещали. Опять сроки перенесли?
"
2229,"У пидараса понасенко плохо все таки с самооценкой. Это же надо было на Шульман наехать. Дебил возомнил себя фигурой, когда он обычный, приятный пидарас, не более.
"
4481,"Так давайте ничего наше государство строить не будет, где срок окупаемости больше 10 лет?
"
2550,"Начальник ЦИПсО! Этого первохрюкана замените! Порвался.
"
13135,"Доставщики еды вообще в ужасе
"
8307,"Да, это обратная сторона медали. По этому и страшно брать ипотеки в больших суммах и отдавать еще большие суммы. Но проблема еще в том что Банк как бы дает вам всю сумму сейчас при текущей стоимости денег, а возвращать их вы будете ой как не скоро и хрен знает какой будет стоимость денег потом(но в нашей стране пока стабильно всё идет в одном направлении). Такой херней как залог вашего жилья ,ваша страховка , проценты и прочее они себя защищают. Т.е. сейчас эта переплата в 5 миллионов на текущие деньги кажется что с вас снимают в 2 раза больше чем вы заплатите, но по факту может оказать что эти 5 миллионов сегодняшего дня через лет 30 будут стоить , для сегодняшней стоимости тысяч 250. А могут и не стоить. Тут уж никто не может так далеко смотреть.
"
8214,"Простите но попахивает пиздежом. То что на фото это ООО Газпром ТрансГаз Москва одна из немногих дочерних предприятий которые не поедут в Питер вообще и никак. Газпром ШН не находится в посёлке Газпровод где стоит ТрансГаз Москва. К тому же, обычная процедура проверки это психологический тест начальник подразделения начальник отдела, кадровики там ничего не решают от слов совсем, СБ может завернуть при наличии судимостей, и проблем с документами такие как военный билет. Да я все это проходил на своём опыте) Если автор подтвердит что был там билетом, или пропуском. Лично вышлю ему коньяку за свои сомнения и длинный язык)
"
4598,"Не думаю, что марганец там с железом связан. Скорее с чем нибудь другим. Они редко встречаются вместе. В любом случае, нужен анализ воды. Если все же они вместе, то, думаю, человеку дешевле новую скважину бурить. Имхо, конечно
"
14284,"даже вилсаком Так себе достижение.
"
9727,"Суслик у неё на шее висит)
"
1396,На депутатство должен быть экзамен - как на гражданство.
3802,"Точно. Еле до мусорки его допер, тяжеленный
"
11740,"Суди по описанию, там соль употребляется без контрольно. У нас сейчас в жизни очень много соли и сахара. У населения уже давно извратился вкус и они не могу жить без соли и сахара. В данный момент я по минимуму (раньше могла влегкую схомячить соленый огурец и пару кусочков сала) употребляю соль и сахар, и многие готовые продукты и даже в кафе есть не могу, все очень пересолено и много сахара.
"
7336,"С двумя трамваями это не работает...
"
